TJ노래방 번호	URL	제목	가수	구분	비고	유튜브 검증
82071	https://www.youtube.com/watch?v=Hx071fT9W7k	Attention	NewJeans	한국어		
082071	https://www.youtube.com/watch?v=x8RIixqumUc	_Attention	NewJeans	한국어		
82078	https://www.youtube.com/watch?v=5QpKFO-mXJ4	사랑한다고말해줘(Tell me you love me)	탑현(Tophyun)	한국어		
082078	https://www.youtube.com/watch?v=j2Grw3XRZng	_사랑한다고말해줘(Tell me you love me)	탑현(Tophyun)	한국어		
82076	https://www.youtube.com/watch?v=79nklOYI0PQ	Cookie	NewJeans	한국어		
082076	https://www.youtube.com/watch?v=VOmIplFAGeg	_Cookie	NewJeans	한국어		
82138	https://www.youtube.com/watch?v=VNlMN5FHoQw	Pink Venom	블랙핑크(BLACKPINK)	한국어		
082138	https://www.youtube.com/watch?v=gQlMMD8auMs	_Pink Venom	블랙핑크(BLACKPINK)	한국어		
98518	https://www.youtube.com/watch?v=9SOzcz6cQn4	도망가지마(Don't run away)	모트(Motte)	한국어		
098518	https://www.youtube.com/watch?v=4Mm-K9nhdVQ	_도망가지마(Don't run away)	모트(Motte)	한국어		
42377	https://www.youtube.com/watch?v=xku9ydAIlDI	누군가에게(Someone)	김사월(Kim Sawol)	한국어		
042377	https://www.youtube.com/watch?v=11mxnvHowTY?t=10	_누군가에게(Someone)	김사월(Kim Sawol)	한국어		
39338	https://www.youtube.com/watch?v=jxM0ilLio4Q	쓰담쓰담(Sseudam Sseudam,Caress)	10cm	한국어		
039338	https://www.youtube.com/watch?v=RjH1bT9SDgY	_쓰담쓰담(Sseudam Sseudam,Caress)	10cm	한국어		
15195	https://www.youtube.com/watch?v=HABe9E06Mnc	어른아이(CHILDISH ADULT)	거미(Gummy)	한국어		
015195	https://www.youtube.com/watch?v=NRltHmPIt04	_어른아이(CHILDISH ADULT)	거미(Gummy)	한국어		
8589	https://www.youtube.com/watch?v=kIbMYo7aO1s	너를보내고(After send you)	윤도현밴드(YB)	한국어		
08589	https://www.youtube.com/watch?v=reChT51qGNw?t=5	_너를보내고(After send you)	윤도현밴드(YB)	한국어		
9768	https://www.youtube.com/watch?v=o2CMNrb7vK8	Bravo, my life!	봄여름가을겨울(SSaW)	한국어		
09768	https://www.youtube.com/watch?v=QXzxqiLmxFQ	_Bravo, my life!	봄여름가을겨울(SSaW)	한국어		
96977	https://www.youtube.com/watch?v=OvyfgLWYxxM	Bravo, my life! (슬기로운깜빵생활 OST)	에릭남(Eric Nam)	한국어		
096977	https://www.youtube.com/watch?v=X0dHG-jcTDo	_Bravo, my life! (슬기로운깜빵생활 OST)	에릭남(Eric Nam)	한국어		
28810	https://www.youtube.com/watch?v=4nNPN1kYU1c	サザンカ(산다화) 	SEKAI NO OWARI	일본어		
028810	https://www.youtube.com/watch?v=249YdrcCL0Y	_サザンカ(산다화) 	SEKAI NO OWARI	일본어		
80826	https://www.youtube.com/watch?v=jixARxVqdsM	STAY WITH ME	자우림(Jaurim)	한국어		
080826	https://www.youtube.com/watch?v=p7Yc0kaz_hY	_STAY WITH ME	자우림(Jaurim)	한국어		
78872	https://www.youtube.com/watch?v=MNIqBaiar2w	첫사랑(Amor)	백아(白兒,Baek.a)	한국어		
078872	https://www.youtube.com/watch?v=5lQrf60gxNI	_첫사랑(Amor)	백아(白兒,Baek.a)	한국어		
82308	https://www.youtube.com/watch?v=M9hpZIDgrFQ	Monologue	tei	한국어		
082308	https://www.youtube.com/watch?v=IeDb7OrnGNE?t=8	_Monologue	tei	한국어		
82466	https://www.youtube.com/watch?v=vecUCkIVH2w	Nxde	(여자)아이들((G)I-DLE)	한국어		
082466	https://www.youtube.com/watch?v=fCO7f0SmrDc	_Nxde	(여자)아이들((G)I-DLE)	한국어		
32125	https://www.youtube.com/watch?v=I9bhGRQKdtw	못해(Can't)	4MEN(Feat.미(MIIII))	한국어		
032125	https://www.youtube.com/watch?v=rAyhaiiNgUo?t=26	_못해(Can't)	4MEN(Feat.미(MIIII))	한국어		
82467	https://www.youtube.com/watch?v=Kaey5iynTzw	ANTIFRAGILE	LE SSERAFIM(르세라핌)	한국어		
082467	https://www.youtube.com/watch?v=pyf8cbqyfPs	_ANTIFRAGILE	LE SSERAFIM(르세라핌)	한국어		
17172	https://www.youtube.com/watch?v=vm6bWUdFRU4	같은베개(Same Pillow)	tei	한국어		
017172	https://www.youtube.com/watch?v=FC_MR_NqpF4	_같은베개(Same Pillow)	tei	한국어		
82256	https://www.youtube.com/watch?v=Wm-wUMxgk_k	새삥(New thing)	지코(ZICO),호미들(Homies)	한국어		
082256	https://www.youtube.com/watch?v=azaZt7eccnc	_새삥(New thing)	지코(ZICO),호미들(Homies)	한국어		
97339	https://www.youtube.com/watch?v=X5AJ1fa2iag	그때헤어지면돼(Only then)	로이킴(Roy Kim)	한국어		
097339	https://www.youtube.com/watch?v=SkN_hWI6n28	_그때헤어지면돼(Only then)	로이킴(Roy Kim)	한국어		
30389	https://www.youtube.com/watch?v=XroNTEhZwGU	뽀롱뽀롱뽀로로(뽀로로 Pororo OP)	오승연 외	한국어		
030389	https://www.youtube.com/watch?v=TEv28W1-eLM	_뽀롱뽀롱뽀로로(뽀로로 Pororo OP)	오승연 외	한국어		
82475	https://www.youtube.com/watch?v=tWvHPj7G1cU	떠나보낼준비해둘걸그랬어(Get Ready To Leave)	임한별(Onestar)	한국어		
082475	https://www.youtube.com/watch?v=5rO-t7u6OE4	_떠나보낼준비해둘걸그랬어(Get Ready To Leave)	임한별(Onestar)	한국어		
48232	https://www.youtube.com/watch?v=YGx6aCPXHPI	노력(Try)	박원(PARK WON)	한국어		
048232	https://www.youtube.com/watch?v=1hZa60t8wSE	_노력(Try)	박원(PARK WON)	한국어		
48585	https://www.youtube.com/watch?v=dr6ZUfe0loM	예뻤어(You Were Beautiful)	데이식스(DAY6)	한국어		
048585	https://www.youtube.com/watch?v=BS7tz2rAOSA	_예뻤어(You Were Beautiful)	데이식스(DAY6)	한국어		
81601	https://www.youtube.com/watch?v=dc6D3fYw--k	오르막길(Uphill)	윤종신(Yoon Jong Shin)	한국어		
081601	https://www.youtube.com/watch?v=VvLNz352f7Q	_오르막길(Uphill)	윤종신(Yoon Jong Shin)	한국어		
91725	https://www.youtube.com/watch?v=J15TV9vUXmI	한페이지가될수있게(Time of Our Life)	데이식스(DAY6)	한국어		
091725	https://www.youtube.com/watch?v=wQ-ycwRrM8U	_한페이지가될수있게(Time of Our Life)	데이식스(DAY6)	한국어		
23972	https://www.youtube.com/watch?v=Osmr13oZnO8	I Don't Think That I Like Her	Charlie Puth	영어		
023972	https://www.youtube.com/watch?v=bOVzVuB5DpY	_I Don't Think That I Like Her	Charlie Puth	영어		
23986	https://www.youtube.com/watch?v=CNQecEnK26s	Unholy	Sam Smith,Kim Petras	영어		
023986	https://www.youtube.com/watch?v=HXCGnFav4LQ	_Unholy	Sam Smith,Kim Petras	영어		
22429	https://www.youtube.com/watch?v=j1V33b2ZEIo?t=6	A Thousand Years(Twilight Saga : Breaking Dawn Part 1 OST)	Christina Perri	영어		
022429	https://www.youtube.com/watch?v=rtOvBOTyX00	_A Thousand Years(Twilight Saga : Breaking Dawn Part 1 OST)	Christina Perri	영어		
68677	https://www.youtube.com/watch?v=mzbS8TbFAbc	KICK BACK (チェンソーマン 체인소맨 OP)	米津玄師(요네즈 켄시)	일본어		
068677	https://www.youtube.com/watch?v=M2cckDmNLMI	_KICK BACK (チェンソーマン 체인소맨 OP)	米津玄師(요네즈 켄시)	일본어		
68670	https://www.youtube.com/watch?v=6QhMpE-aUb4	シネマ(시네마) 	Ayase,初音ミク(하츠네 미쿠)	일본어		
068670	https://www.youtube.com/watch?v=EEbWRjavSVw	_シネマ(시네마) 	Ayase,初音ミク(하츠네 미쿠)	일본어		
48147	https://www.youtube.com/watch?v=_Bb-fCe2_dg	불장난(PLAYING WITH FIRE)	블랙핑크(BLACKPINK)	한국어		
048147	https://www.youtube.com/watch?v=9pdj4iJD08s	_불장난(PLAYING WITH FIRE)	블랙핑크(BLACKPINK)	한국어		
68657	https://www.youtube.com/watch?v=57zKj050Gwg	summertime -evening cinema	cinnamons	일본어		
068657	https://www.youtube.com/watch?v=KMTo2LmixqQ	_summertime -evening cinema	cinnamons	일본어		
78710	https://www.youtube.com/watch?v=vF_IfKW8HIM	나는반딧불(I am firefly)	중식이(Lunch)	한국어		
078710	https://www.youtube.com/watch?v=bBkOclG1qDg	_나는반딧불(I am firefly)	중식이(Lunch)	한국어		
11178	https://www.youtube.com/watch?v=xuhsIC82HL0	진달래꽃(Azalea)	마야(MAYA)	한국어		
011178	https://www.youtube.com/watch?v=iRfmRbjd_jA	_진달래꽃(Azalea)	마야(MAYA)	한국어		
98702	https://www.youtube.com/watch?v=8eu4IYFKWko	Change	키드밀리(KIDMILLI),그레이(GRAY)	한국어		
098702	https://www.youtube.com/watch?v=OP_qwy5XG7U?t=6	_Change	키드밀리(KIDMILLI),그레이(GRAY)	한국어		
